text,label
🎁 WIN $1000! Claim: winner.com,spam
💰 Earn $5000/day! Join: prize.net,spam
🔥 URGENT! Account issue! Fix: claim.org,spam
💊 Pills 90% OFF! Buy: bonus.biz,spam
👑 FREE Luxury Villa! Get: secure.info,spam
Срочно! Заберите приз! Ссылка: mega.club,spam
Заработок 1000000₽! Регистрация: winner.com,spam
Выиграй iPhone 15! Забери: prize.net,spam
¡Verifique cuenta! Enlace: claim.org,spam
¡Gana €10000! Reclama: bonus.biz,spam
URGENT! Mettez à jour! Lien: secure.info,spam
Gagnez 100000€! Réclamez: mega.club,spam
DRINGEND! Bestätigen Konto! Link: winner.com,spam
Gewinnen 1000000€! Holen: prize.net,spam
紧急！更新支付！链接：claim.org,spam
赢5000元！领取：bonus.biz,spam
🎁 WIN $10000! Claim: secure.info,spam
💰 Earn $50000/day! Join: mega.club,spam
🔥 URGENT! Account issue! Fix: winner.com,spam
💊 Pills 70% OFF! Buy: prize.net,spam
👑 FREE Private Jet! Get: claim.org,spam
Срочно! Заберите приз! Ссылка: bonus.biz,spam
Заработок 5000₽! Регистрация: secure.info,spam
Выиграй Bitcoin! Забери: mega.club,spam
¡Verifique cuenta! Enlace: winner.com,spam
¡Gana €100000! Reclama: prize.net,spam
URGENT! Mettez à jour! Lien: claim.org,spam
Gagnez 1000000€! Réclamez: bonus.biz,spam
DRINGEND! Bestätigen Konto! Link: secure.info,spam
Gewinnen 5000€! Holen: mega.club,spam
紧急！更新支付！链接：winner.com,spam
赢50000元！领取：prize.net,spam
🎁 WIN $100000! Claim: claim.org,spam
💰 Earn $500000/day! Join: bonus.biz,spam
🔥 URGENT! Account issue! Fix: secure.info,spam
💊 Pills 99% OFF! Buy: mega.club,spam
👑 FREE Tesla! Get: winner.com,spam
Срочно! Заберите приз! Ссылка: prize.net,spam
Заработок 50000₽! Регистрация: claim.org,spam
Выиграй Luxury Villa! Забери: bonus.biz,spam
¡Verifique cuenta! Enlace: secure.info,spam
¡Gana €1000000! Reclama: mega.club,spam
URGENT! Mettez à jour! Lien: winner.com,spam
Gagnez 5000€! Réclamez: prize.net,spam
DRINGEND! Bestätigen Konto! Link: claim.org,spam
Gewinnen 50000€! Holen: bonus.biz,spam
紧急！更新支付！链接：secure.info,spam
赢500000元！领取：mega.club,spam
🎁 WIN $1000000! Claim: winner.com,spam
💰 Earn $1000/day! Join: prize.net,spam
🔥 URGENT! Account issue! Fix: claim.org,spam
💊 Pills 90% OFF! Buy: bonus.biz,spam
👑 FREE Gold Card! Get: secure.info,spam
Срочно! Заберите приз! Ссылка: mega.club,spam
Заработок 500000₽! Регистрация: winner.com,spam
Выиграй Private Jet! Забери: prize.net,spam
¡Verifique cuenta! Enlace: claim.org,spam
¡Gana €5000! Reclama: bonus.biz,spam
URGENT! Mettez à jour! Lien: secure.info,spam
Gagnez 50000€! Réclamez: mega.club,spam
DRINGEND! Bestätigen Konto! Link: winner.com,spam
Gewinnen 500000€! Holen: prize.net,spam
紧急！更新支付！链接：claim.org,spam
赢1000元！领取：bonus.biz,spam
🎁 WIN $5000! Claim: secure.info,spam
💰 Earn $10000/day! Join: mega.club,spam
🔥 URGENT! Account issue! Fix: winner.com,spam
💊 Pills 70% OFF! Buy: prize.net,spam
👑 FREE Yacht! Get: claim.org,spam
Срочно! Заберите приз! Ссылка: bonus.biz,spam
Заработок 1000₽! Регистрация: secure.info,spam
Выиграй Tesla! Забери: mega.club,spam
¡Verifique cuenta! Enlace: winner.com,spam
¡Gana €50000! Reclama: prize.net,spam
URGENT! Mettez à jour! Lien: claim.org,spam
Gagnez 500000€! Réclamez: bonus.biz,spam
DRINGEND! Bestätigen Konto! Link: secure.info,spam
Gewinnen 1000€! Holen: mega.club,spam
紧急！更新支付！链接：winner.com,spam
赢10000元！领取：prize.net,spam
🎁 WIN $50000! Claim: claim.org,spam
💰 Earn $100000/day! Join: bonus.biz,spam
🔥 URGENT! Account issue! Fix: secure.info,spam
💊 Pills 99% OFF! Buy: mega.club,spam
👑 FREE iPhone 15! Get: winner.com,spam
Срочно! Заберите приз! Ссылка: prize.net,spam
Заработок 10000₽! Регистрация: claim.org,spam
Выиграй Gold Card! Забери: bonus.biz,spam
¡Verifique cuenta! Enlace: secure.info,spam
¡Gana €500000! Reclama: mega.club,spam
URGENT! Mettez à jour! Lien: winner.com,spam
Gagnez 1000€! Réclamez: prize.net,spam
DRINGEND! Bestätigen Konto! Link: claim.org,spam
Gewinnen 10000€! Holen: bonus.biz,spam
紧急！更新支付！链接：secure.info,spam
赢100000元！领取：mega.club,spam
🎁 WIN $500000! Claim: winner.com,spam
💰 Earn $1000000/day! Join: prize.net,spam
🔥 URGENT! Account issue! Fix: claim.org,spam
💊 Pills 90% OFF! Buy: bonus.biz,spam
👑 FREE Bitcoin! Get: secure.info,spam
Срочно! Заберите приз! Ссылка: mega.club,spam
Заработок 100000₽! Регистрация: winner.com,spam
Выиграй Yacht! Забери: prize.net,spam
¡Verifique cuenta! Enlace: claim.org,spam
¡Gana €1000! Reclama: bonus.biz,spam
URGENT! Mettez à jour! Lien: secure.info,spam
Gagnez 10000€! Réclamez: mega.club,spam
DRINGEND! Bestätigen Konto! Link: winner.com,spam
Gewinnen 100000€! Holen: prize.net,spam
紧急！更新支付！链接：claim.org,spam
赢1000000元！领取：bonus.biz,spam
🎁 WIN $1000! Claim: secure.info,spam
💰 Earn $5000/day! Join: mega.club,spam
🔥 URGENT! Account issue! Fix: winner.com,spam
💊 Pills 70% OFF! Buy: prize.net,spam
👑 FREE Luxury Villa! Get: claim.org,spam
Срочно! Заберите приз! Ссылка: bonus.biz,spam
Заработок 1000000₽! Регистрация: secure.info,spam
Выиграй iPhone 15! Забери: mega.club,spam
¡Verifique cuenta! Enlace: winner.com,spam
¡Gana €10000! Reclama: prize.net,spam
URGENT! Mettez à jour! Lien: claim.org,spam
Gagnez 100000€! Réclamez: bonus.biz,spam
DRINGEND! Bestätigen Konto! Link: secure.info,spam
Gewinnen 1000000€! Holen: mega.club,spam
紧急！更新支付！链接：winner.com,spam
赢5000元！领取：prize.net,spam
🎁 WIN $10000! Claim: claim.org,spam
💰 Earn $50000/day! Join: bonus.biz,spam
🔥 URGENT! Account issue! Fix: secure.info,spam
💊 Pills 99% OFF! Buy: mega.club,spam
👑 FREE Private Jet! Get: winner.com,spam
Срочно! Заберите приз! Ссылка: prize.net,spam
Заработок 5000₽! Регистрация: claim.org,spam
Выиграй Bitcoin! Забери: bonus.biz,spam
¡Verifique cuenta! Enlace: secure.info,spam
¡Gana €100000! Reclama: mega.club,spam
URGENT! Mettez à jour! Lien: winner.com,spam
Gagnez 1000000€! Réclamez: prize.net,spam
DRINGEND! Bestätigen Konto! Link: claim.org,spam
Gewinnen 5000€! Holen: bonus.biz,spam
紧急！更新支付！链接：secure.info,spam
赢50000元！领取：mega.club,spam
🎁 WIN $100000! Claim: winner.com,spam
💰 Earn $500000/day! Join: prize.net,spam
🔥 URGENT! Account issue! Fix: claim.org,spam
💊 Pills 90% OFF! Buy: bonus.biz,spam
👑 FREE Tesla! Get: secure.info,spam
Срочно! Заберите приз! Ссылка: mega.club,spam
Заработок 50000₽! Регистрация: winner.com,spam
Выиграй Luxury Villa! Забери: prize.net,spam
¡Verifique cuenta! Enlace: claim.org,spam
¡Gana €1000000! Reclama: bonus.biz,spam
URGENT! Mettez à jour! Lien: secure.info,spam
Gagnez 5000€! Réclamez: mega.club,spam
DRINGEND! Bestätigen Konto! Link: winner.com,spam
Gewinnen 50000€! Holen: prize.net,spam
紧急！更新支付！链接：claim.org,spam
赢500000元！领取：bonus.biz,spam
🎁 WIN $1000000! Claim: secure.info,spam
